                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.98099,                0.56059,                 1.0341,                0.84492,                0.76066,                 0.8508,                 0.5944,                 1.1064,                0.68883,                 1.1421,               0.004456,               0.004456,               0.004456
                     86,                0.98022,                 0.5544,                  1.032,                0.84423,                0.76074,                0.85091,                0.59442,                 1.1055,                0.68851,                 1.1418,                0.00439,                0.00439,                0.00439
                     87,                0.97149,                0.54792,                 1.0314,                0.84211,                0.76317,                 0.8512,                0.59397,                 1.1068,                0.68998,                 1.1444,               0.004324,               0.004324,               0.004324
                     88,                0.96787,                0.54663,                 1.0277,                0.84331,                 0.7615,                0.85042,                0.59367,                 1.1073,                0.68973,                 1.1456,               0.004258,               0.004258,               0.004258
                     89,                0.96962,                0.54387,                 1.0273,                0.84351,                0.76235,                0.85007,                0.59341,                 1.1074,                0.69103,                 1.1453,               0.004192,               0.004192,               0.004192
                     90,                0.96449,                0.54526,                 1.0231,                0.84209,                0.76211,                0.84973,                0.59288,                 1.1074,                0.69148,                 1.1445,               0.004126,               0.004126,               0.004126
                     91,                0.96245,                0.53745,                 1.0292,                  0.841,                0.76231,                0.84955,                0.59282,                 1.1081,                0.69117,                 1.1461,                0.00406,                0.00406,                0.00406
                     92,                0.97241,                0.54425,                 1.0255,                0.84188,                0.76169,                0.84936,                0.59256,                 1.1088,                0.69163,                 1.1456,               0.003994,               0.003994,               0.003994
                     93,                0.96296,                0.53919,                 1.0214,                0.84172,                0.76295,                0.84932,                0.59261,                 1.1089,                0.69178,                 1.1439,               0.003928,               0.003928,               0.003928
                     94,                0.95558,                0.53283,                 1.0215,                0.84185,                0.76153,                0.84863,                0.59207,                 1.1093,                 0.6923,                  1.144,               0.003862,               0.003862,               0.003862
                     95,                0.95571,                0.53053,                 1.0118,                0.84167,                0.76188,                0.84838,                0.59211,                 1.1094,                0.69269,                 1.1417,               0.003796,               0.003796,               0.003796
                     96,                0.94779,                0.52611,                 1.0119,                0.83868,                0.76255,                0.84868,                0.59201,                   1.11,                0.69301,                 1.1413,                0.00373,                0.00373,                0.00373
                     97,                0.95548,                0.53176,                  1.019,                 0.8399,                0.76198,                0.84865,                0.59176,                  1.111,                0.69304,                 1.1417,               0.003664,               0.003664,               0.003664
                     98,                0.94784,                 0.5219,                  1.015,                0.84082,                0.76132,                0.84825,                0.59169,                 1.1126,                0.69353,                 1.1439,               0.003598,               0.003598,               0.003598
                     99,                0.94714,                 0.5198,                 1.0088,                0.83977,                0.76181,                0.84768,                0.59156,                 1.1131,                0.69487,                 1.1433,               0.003532,               0.003532,               0.003532
                    100,                0.95333,                0.52509,                 1.0098,                 0.8388,                0.76208,                 0.8474,                0.59139,                 1.1135,                0.69509,                 1.1419,               0.003466,               0.003466,               0.003466
                    101,                0.94269,                0.52045,                 1.0176,                0.83965,                0.76234,                0.84754,                0.59116,                 1.1136,                0.69624,                 1.1434,                 0.0034,                 0.0034,                 0.0034
                    102,                0.94912,                0.52498,                 1.0168,                0.83891,                0.76221,                0.84695,                0.59094,                 1.1141,                0.69749,                 1.1448,               0.003334,               0.003334,               0.003334
                    103,                0.94067,                0.51756,                  1.012,                0.83808,                0.76333,                0.84654,                0.59055,                 1.1143,                0.69809,                 1.1446,               0.003268,               0.003268,               0.003268
                    104,                0.93237,                 0.5098,                 1.0091,                0.83878,                0.76255,                0.84642,                0.59035,                 1.1148,                0.69797,                 1.1459,               0.003202,               0.003202,               0.003202
                    105,                0.94048,                0.51439,                 1.0143,                 0.8358,                0.76425,                0.84616,                0.59012,                 1.1155,                 0.6984,                 1.1473,               0.003136,               0.003136,               0.003136
                    106,                0.93466,                 0.5077,                 1.0104,                0.83882,                0.76174,                0.84579,                0.59005,                 1.1166,                0.69908,                 1.1489,                0.00307,                0.00307,                0.00307
                    107,                0.93374,                0.51079,                 1.0111,                0.83805,                0.76243,                0.84576,                0.58984,                  1.117,                0.69931,                 1.1497,               0.003004,               0.003004,               0.003004
                    108,                0.92904,                0.50253,                 1.0078,                0.83713,                0.76361,                0.84587,                0.58971,                 1.1175,                0.69961,                 1.1499,               0.002938,               0.002938,               0.002938
                    109,                0.92329,                0.50444,                 1.0078,                0.83838,                0.76236,                0.84562,                0.58947,                 1.1179,                0.70022,                  1.151,               0.002872,               0.002872,               0.002872
                    110,                0.92091,                0.49717,                 1.0078,                0.83826,                0.76312,                0.84545,                0.58921,                 1.1183,                0.70043,                 1.1516,               0.002806,               0.002806,               0.002806
                    111,                0.92727,                0.50156,                 1.0084,                0.83902,                0.76215,                0.84519,                0.58907,                 1.1184,                0.70059,                 1.1525,                0.00274,                0.00274,                0.00274
                    112,                0.93315,                0.50411,                 1.0072,                0.83829,                0.76222,                0.84507,                0.58888,                 1.1185,                0.70089,                 1.1527,               0.002674,               0.002674,               0.002674
                    113,                 0.9243,                0.49834,                 1.0049,                0.83863,                 0.7622,                0.84477,                0.58894,                 1.1191,                0.70126,                 1.1536,               0.002608,               0.002608,               0.002608
                    114,                0.91472,                0.49354,                 1.0042,                0.83861,                0.76204,                0.84454,                0.58867,                 1.1194,                0.70144,                 1.1544,               0.002542,               0.002542,               0.002542
                    115,                0.92277,                0.50433,                 1.0034,                0.83856,                0.76181,                0.84435,                0.58845,                   1.12,                0.70157,                 1.1551,               0.002476,               0.002476,               0.002476
                    116,                0.91845,                0.49245,                0.99784,                0.83826,                 0.7622,                0.84428,                0.58833,                 1.1209,                0.70142,                 1.1558,                0.00241,                0.00241,                0.00241
                    117,                    inf,                0.48608,                0.99904,                0.83805,                0.76185,                0.84428,                 0.5882,                 1.1214,                0.70165,                 1.1563,               0.002344,               0.002344,               0.002344
                    118,                0.90957,                0.48616,                0.99771,                0.83789,                0.76199,                0.84408,                0.58784,                 1.1221,                 0.7019,                 1.1571,               0.002278,               0.002278,               0.002278
                    119,                0.90256,                0.47978,                0.99539,                 0.8367,                0.76302,                0.84398,                0.58762,                 1.1228,                 0.7021,                 1.1576,               0.002212,               0.002212,               0.002212
                    120,                0.90705,                0.48201,                0.99401,                0.83767,                0.76234,                0.84352,                0.58759,                 1.1233,                 0.7026,                 1.1579,               0.002146,               0.002146,               0.002146
                    121,                0.90502,                0.48359,                0.99528,                  0.838,                0.76157,                0.84333,                0.58738,                 1.1238,                0.70312,                  1.158,                0.00208,                0.00208,                0.00208
                    122,                0.90737,                0.48138,                0.98894,                0.83929,                0.76072,                0.84331,                0.58707,                 1.1245,                0.70339,                 1.1582,               0.002014,               0.002014,               0.002014
                    123,                0.90675,                 0.4839,                0.99305,                 0.8389,                0.76139,                0.84312,                0.58703,                  1.125,                0.70397,                 1.1586,               0.001948,               0.001948,               0.001948
                    124,                0.89602,                0.47664,                0.99175,                0.83865,                0.76134,                0.84301,                0.58671,                 1.1256,                0.70432,                 1.1588,               0.001882,               0.001882,               0.001882
                    125,                0.89546,                0.47864,                0.99308,                0.83891,                0.76121,                0.84277,                0.58656,                 1.1261,                0.70505,                 1.1594,               0.001816,               0.001816,               0.001816
                    126,                0.89738,                0.47636,                0.99056,                0.83756,                0.76243,                0.84275,                 0.5865,                 1.1267,                0.70529,                   1.16,                0.00175,                0.00175,                0.00175
                    127,                0.89636,                0.47401,                0.99045,                0.83812,                0.76114,                0.84253,                0.58626,                 1.1273,                0.70541,                 1.1604,               0.001684,               0.001684,               0.001684
                    128,                0.89163,                0.46708,                0.98985,                 0.8365,                0.76229,                0.84217,                0.58609,                 1.1277,                0.70576,                  1.161,               0.001618,               0.001618,               0.001618
                    129,                0.88959,                0.46809,                0.98973,                0.83625,                0.76245,                0.84211,                0.58603,                 1.1279,                0.70649,                 1.1612,               0.001552,               0.001552,               0.001552
